min, max, avg
0, 2090, 681.865
0, 1979, 719.18
0, 2059, 754.615
0, 2131, 728.83
0, 2519, 1012.155
0, 2571, 911.55
0, 2670, 1180.675
0, 2449, 918.215
0, 2243, 865.04
0, 2208, 851.995
0, 2219, 832.71
0, 2163, 818.785
0, 2207, 775.015
0, 2182, 880.86
0, 2198, 757.345
0, 2171, 838.175
0, 2169, 826.985
0, 2161, 804.63
0, 2176, 805.05
0, 2153, 854.335
0, 2137, 822.45
0, 2192, 824.69
0, 2131, 805.97
0, 2144, 776.46
0, 2136, 811.71
0, 2139, 822.585
0, 2193, 797.445
0, 2209, 766.12
0, 2141, 842.09
0, 2165, 807.92
0, 2143, 790.605
0, 2155, 772.725
0, 2111, 821.77
0, 2142, 745.825
0, 2189, 838.565
0, 2144, 739.805
0, 2208, 808.15
0, 2146, 803.315
0, 2192, 781.77
0, 2141, 824.385
0, 606, 45.525
0, 1835, 632.585
0, 2004, 704.185
0, 1953, 749.99
0, 2037, 734.69
0, 1968, 787.065
0, 1968, 684.685
0, 2019, 735.115
0, 1953, 664.3
0, 2127, 782.935
0, 2128, 842.065
0, 2169, 851.005
0, 2207, 778.34
0, 2144, 776.55
0, 2143, 817.69
0, 2226, 833.405
0, 2175, 747.555
0, 2163, 782.4
0, 2123, 815.67
0, 2141, 792.24
0, 2203, 815.22
0, 2225, 770.715
0, 2131, 822.01
0, 2167, 806.955
0, 2178, 806.215
0, 2133, 838.205
0, 2142, 798.015
0, 2214, 796.705
0, 2137, 844.62
0, 2179, 797.225
0, 2135, 851.33
0, 2240, 801.03
0, 2103, 749.755
0, 2225, 800.52
0, 2167, 845.515
0, 2159, 814.07
0, 2126, 816.68
0, 2231, 795.315
0, 2160, 860.06
0, 2149, 824.03
0, 2246, 804.01
0, 2160, 783.165
0, 2138, 853.075
0, 2124, 768.495
0, 2176, 830.94
0, 2205, 788.02
0, 2165, 787.68
0, 2191, 793.495
0, 2189, 789.345
0, 2249, 866.115
0, 2182, 850.055
0, 2134, 809.46
0, 2160, 773.88
0, 2166, 807.005
0, 2173, 780.665
0, 2137, 844.185
0, 2154, 746.62
0, 2178, 834.17
0, 2176, 802.295
0, 2180, 854.765
0, 2162, 792.74
0, 2189, 828.425
0, 2254, 781.705
0, 2150, 850.91
0, 2061, 722.42
